quarter,EPS (Adj) (Unit Curr.),Net Sales,PATM(%),PBIDT,PBIDTM(%),Reported Profit After Tax,company
2016Q1,0.0,2212.71,2.96,154.58,6.99,65.56,AVENUE
2016Q2,0.0,2652.39,4.47,239.66,9.04,118.45,AVENUE
2016Q3,0.0,2778.73,4.16,240.89,8.67,115.65,AVENUE
2016Q4,0.0,3339.36,4.55,296.79,8.89,151.88,AVENUE
2017Q1,1.69,3110.64,3.11,217.6,7.0,96.67,AVENUE
2017Q2,2.8,3598.12,4.86,326.05,9.06,174.77,AVENUE
2017Q3,3.06,3506.92,5.45,339.14,9.67,191.04,AVENUE
2017Q4,4.03,4093.89,6.15,435.4,10.64,251.77,AVENUE
2018Q1,2.68,3809.96,4.39,309.38,8.12,167.1,AVENUE
2018Q2,4.02,4559.42,5.5,436.93,9.58,250.61,AVENUE
2018Q3,3.62,4872.52,4.63,403.5,8.28,225.74,AVENUE
2018Q4,4.12,5450.94,4.72,461.97,8.48,257.11,AVENUE
2019Q1,3.25,5033.37,4.03,391.19,7.77,202.89,AVENUE
2019Q2,5.37,5780.53,5.8,607.88,10.52,335.31,AVENUE
2019Q3,5.34,5949.01,5.61,524.26,8.81,333.45,AVENUE
2019Q4,6.3,6751.94,5.84,600.06,8.89,394.26,AVENUE
2020Q1,4.49,6193.53,4.63,453.26,7.32,286.87,AVENUE
2020Q2,0.77,3833.23,1.29,160.2,4.18,49.56,AVENUE
2020Q3,3.25,5218.15,4.03,380.7,7.3,210.55,AVENUE
2020Q4,7.26,7432.69,6.33,740.57,9.96,470.25,AVENUE
2021Q1,6.71,7303.13,5.96,669.16,9.16,434.95,AVENUE
2021Q2,1.78,5031.75,2.29,257.43,5.12,115.13,AVENUE
2021Q3,6.93,7649.64,5.87,703.14,9.19,448.9,AVENUE
2021Q4,9.04,9065.02,6.46,900.5,9.93,585.79,AVENUE
2022Q1,7.2,8606.09,5.42,781.32,9.08,466.35,AVENUE
2022Q2,10.49,9806.89,6.93,1044.8,10.65,679.64,AVENUE
2022Q3,11.28,10384.66,7.03,938.63,9.04,730.48,AVENUE
2022Q4,9.9,11304.58,5.67,1014.96,8.98,641.07,AVENUE
2023Q1,7.8,10337.12,4.89,824.09,7.97,505.21,AVENUE
2023Q2,10.71,11584.44,6.0,1083.25,9.35,695.36,AVENUE
2023Q3,10.12,12307.72,5.35,1047.4,8.51,658.54,AVENUE
2023Q4,11.32,13247.33,5.56,1165.37,8.8,736.82,AVENUE
2024Q1,9.28,12393.46,4.88,992.42,8.01,604.2,AVENUE
2024Q2,12.49,13711.87,5.93,1272.99,9.28,812.45,AVENUE
2024Q3,10.92,14050.32,5.06,1151.56,8.2,710.37,AVENUE
2024Q4,12.06,15565.23,5.04,1271.66,8.17,784.65,AVENUE
2025Q1,9.52,14462.39,4.28,1020.54,7.06,619.71,AVENUE
2025Q2,12.75,15932.12,5.21,1347.45,8.46,829.73,AVENUE
2025Q3,11.47,16218.79,4.6,1262.88,7.79,746.55,AVENUE
2025Q4,14.19,17612.62,5.24,1511.04,8.58,923.05,AVENUE
2015Q4,3.49,625.09,7.17,87.14,13.94,44.82,BATA
2016Q1,2.2,543.99,5.19,66.39,12.2,28.23,BATA
2016Q2,3.93,663.13,7.62,93.12,14.04,50.5,BATA
2016Q3,2.69,577.95,5.98,67.59,11.69,34.59,BATA
2016Q4,2.93,634.66,5.94,73.02,11.51,37.71,BATA
2017Q1,2.8,591.43,6.08,68.89,11.65,35.94,BATA
2017Q2,4.7,736.06,8.21,107.13,14.55,60.43,BATA
2017Q3,3.34,586.9,7.31,79.28,13.51,42.89,BATA
2017Q4,5.3,674.0,10.11,122.21,18.13,68.17,BATA
2018Q1,4.05,632.31,8.24,96.01,15.18,52.08,BATA
2018Q2,6.42,797.28,10.35,143.8,18.04,82.55,BATA
2018Q3,4.33,673.07,8.27,102.24,15.19,55.66,BATA
2018Q4,8.03,778.7,13.25,177.37,22.78,103.18,BATA
2019Q1,6.87,679.39,12.99,122.43,18.02,88.27,BATA
2019Q2,7.84,882.14,11.42,259.9,29.46,100.73,BATA
2019Q3,5.55,721.96,9.89,203.1,28.13,71.37,BATA
2019Q4,9.12,829.64,14.13,279.65,33.71,117.2,BATA
2020Q1,2.93,619.7,6.07,155.93,25.16,37.61,BATA
2020Q2,-7.87,134.79,-75.03,-34.09,-25.29,-101.13,BATA
2020Q3,-3.45,367.87,-12.07,32.49,8.83,-44.39,BATA
2020Q4,2.01,614.74,4.2,125.73,20.45,25.8,BATA
2021Q1,2.29,589.91,4.99,126.45,21.44,29.44,BATA
2021Q2,-5.55,267.05,-26.71,-21.83,-8.17,-71.32,BATA
2021Q3,2.88,614.12,6.03,130.56,21.26,37.05,BATA
2021Q4,5.63,841.3,8.6,182.16,21.65,72.36,BATA
2022Q1,4.89,665.25,9.44,180.7,27.16,62.8,BATA
2022Q2,9.29,943.02,12.66,253.9,26.92,119.34,BATA
2022Q3,3.98,829.76,6.16,168.88,20.35,51.11,BATA
2022Q4,6.47,900.21,9.23,213.59,23.73,83.11,BATA
2023Q1,5.1,778.59,8.42,191.86,24.64,65.56,BATA
2023Q2,8.39,958.15,11.26,253.57,26.46,107.84,BATA
2023Q3,2.68,819.12,4.21,156.53,19.11,34.49,BATA
2023Q4,4.46,903.47,6.34,192.55,21.31,57.31,BATA
2024Q1,4.69,797.67,7.56,201.39,25.25,60.29,BATA
2024Q2,13.57,944.63,18.46,335.29,35.49,174.37,BATA
2024Q3,4.07,837.14,6.25,192.11,22.95,52.36,BATA
2024Q4,4.53,918.48,6.33,197.99,21.56,58.17,BATA
2025Q1,3.39,787.77,5.53,197.98,25.13,43.55,BATA
2025Q2,4.02,941.84,5.49,210.67,22.37,51.7,BATA
2025Q3,1.07,801.33,1.72,157.9,19.7,13.76,BATA
2015Q4,0.53,708.01,1.42,34.09,4.81,10.08,BLUE STAR
2016Q1,0.89,1103.14,1.54,44.93,4.07,17.01,BLUE STAR
2016Q2,2.78,1165.18,4.55,86.89,7.46,52.98,BLUE STAR
2016Q3,0.89,825.49,2.06,44.44,5.38,16.97,BLUE STAR
2016Q4,0.5,828.9,1.14,31.47,3.8,9.45,BLUE STAR
2017Q1,1.71,1290.03,2.52,71.06,5.51,32.57,BLUE STAR
2017Q2,3.2,1431.99,4.27,103.53,7.23,61.21,BLUE STAR
2017Q3,1.05,780.44,2.57,48.18,6.17,20.04,BLUE STAR
2017Q4,1.33,846.11,3.0,52.78,6.24,25.39,BLUE STAR
2018Q1,1.34,1244.47,2.05,59.85,4.81,25.57,BLUE STAR
2018Q2,4.47,1382.93,6.2,143.82,10.4,85.81,BLUE STAR
2018Q3,0.75,922.84,1.56,48.12,5.21,14.4,BLUE STAR
2018Q4,-1.03,996.61,-1.99,10.31,1.03,-19.86,BLUE STAR
2019Q1,2.15,1481.32,2.8,91.7,6.19,41.44,BLUE STAR
2019Q2,3.86,1470.67,5.05,133.18,9.06,74.23,BLUE STAR
2019Q3,0.67,1056.23,1.21,50.74,4.8,12.79,BLUE STAR
2019Q4,0.03,1062.76,0.06,34.81,3.28,0.59,BLUE STAR
2020Q1,1.73,1196.83,2.78,65.65,5.49,33.26,BLUE STAR
2020Q2,-1.59,526.2,-5.8,-5.17,-0.98,-30.52,BLUE STAR
2020Q3,0.4,803.77,0.94,50.26,6.25,7.58,BLUE STAR
2020Q4,1.23,1020.71,2.31,74.09,7.26,23.58,BLUE STAR
2021Q1,3.39,1491.55,4.38,135.38,9.08,65.26,BLUE STAR
2021Q2,0.48,954.34,0.96,44.8,4.69,9.16,BLUE STAR
2021Q3,1.1,1094.4,1.93,64.23,5.87,21.16,BLUE STAR
2021Q4,1.98,1328.13,2.86,91.2,6.87,38.05,BLUE STAR
2022Q1,3.08,2006.75,2.96,127.42,6.35,59.37,BLUE STAR
2022Q2,3.5,1854.61,3.63,125.55,6.77,67.31,BLUE STAR
2022Q3,1.57,1417.19,2.13,78.33,5.53,30.12,BLUE STAR
2022Q4,2.71,1654.56,3.15,100.72,6.09,52.09,BLUE STAR
2023Q1,11.27,2426.77,8.94,338.52,13.95,217.06,BLUE STAR
2023Q2,4.0,2080.64,3.7,136.77,6.57,77.07,BLUE STAR
2023Q3,3.62,1740.86,4.03,127.27,7.31,70.22,BLUE STAR
2023Q4,3.73,2054.86,3.73,131.91,6.42,76.69,BLUE STAR
2024Q1,6.98,3122.52,4.6,227.07,7.27,143.52,BLUE STAR
2024Q2,7.1,2713.53,5.38,226.38,8.34,146.06,BLUE STAR
2024Q3,4.12,2126.0,3.98,142.8,6.72,84.66,BLUE STAR
2024Q4,4.71,2681.52,3.61,171.96,6.41,96.91,BLUE STAR
2025Q1,7.65,3804.7,4.13,256.1,6.73,157.27,BLUE STAR
2025Q2,5.28,2846.63,3.81,190.43,6.69,108.56,BLUE STAR
2025Q3,3.4,2294.52,3.05,146.47,6.38,69.91,BLUE STAR
2015Q4,8.2,1968.59,9.99,321.22,16.32,196.72,BRITANNIA
2016Q1,8.0,1935.67,9.91,301.63,15.58,191.86,BRITANNIA
2016Q2,8.77,1949.36,10.79,336.13,17.24,210.39,BRITANNIA
2016Q3,9.49,2200.87,10.34,363.16,16.5,227.57,BRITANNIA
2016Q4,8.81,2093.17,10.1,332.96,15.91,211.49,BRITANNIA
2017Q1,8.2,2067.01,9.52,318.69,15.42,196.73,BRITANNIA
2017Q2,8.7,2077.15,10.05,346.79,16.7,208.69,BRITANNIA
2017Q3,10.22,2373.42,10.34,402.39,16.95,245.34,BRITANNIA
2017Q4,10.38,2398.32,10.39,407.35,16.98,249.17,BRITANNIA
2018Q1,5.1,2357.04,10.38,409.87,17.39,244.69,BRITANNIA
2018Q2,5.13,2386.89,10.32,406.27,17.02,246.24,BRITANNIA
2018Q3,5.9,2685.94,10.56,464.19,17.28,283.57,BRITANNIA
2018Q4,12.6,2685.37,11.27,501.67,18.68,302.7,BRITANNIA
2019Q1,12.05,2631.29,11.01,480.52,18.26,289.69,BRITANNIA
2019Q2,10.41,2554.16,9.8,437.74,17.14,250.21,BRITANNIA
2019Q3,20.5,2867.31,17.18,635.55,22.17,492.58,BRITANNIA
2019Q4,14.99,2769.31,13.01,546.35,19.73,360.35,BRITANNIA
2020Q1,15.85,2629.79,14.49,505.48,19.22,381.16,BRITANNIA
2020Q2,21.45,3179.61,16.22,759.09,23.87,515.87,BRITANNIA
2020Q3,19.21,3161.44,14.62,692.1,21.89,462.31,BRITANNIA
2020Q4,17.79,2916.1,14.69,648.49,22.24,428.39,BRITANNIA
2021Q1,14.67,2856.5,12.37,544.34,19.06,353.46,BRITANNIA
2021Q2,19.34,3182.37,14.64,675.71,21.23,465.88,BRITANNIA
2021Q3,15.25,3369.53,10.9,581.92,17.27,367.31,BRITANNIA
2021Q4,14.8,3327.42,10.72,565.88,17.01,356.57,BRITANNIA
2022Q1,17.16,3289.72,12.57,625.08,19.0,413.43,BRITANNIA
2022Q2,13.35,3470.37,9.27,523.01,15.07,321.66,BRITANNIA
2022Q3,20.45,4144.65,11.88,753.21,18.17,492.55,BRITANNIA
2022Q4,31.84,3911.4,19.61,1065.98,27.25,766.93,BRITANNIA
2023Q1,23.17,3758.7,14.85,847.92,22.56,558.16,BRITANNIA
2023Q2,18.39,3824.27,11.59,718.79,18.8,443.05,BRITANNIA
2023Q3,23.68,4220.26,13.52,894.12,21.19,570.49,BRITANNIA
2023Q4,22.35,4031.41,13.35,839.57,20.83,538.36,BRITANNIA
2024Q1,22.01,3862.93,13.72,825.55,21.37,530.15,BRITANNIA
2024Q2,20.84,3967.38,12.66,770.94,19.43,502.08,BRITANNIA
2024Q3,21.36,4391.88,11.71,798.06,18.17,514.41,BRITANNIA
2024Q4,23.13,4281.06,13.01,870.26,20.33,557.13,BRITANNIA
2025Q1,23.13,4218.9,13.2,850.28,20.15,557.1,BRITANNIA
2025Q2,20.69,4357.64,11.43,774.76,17.78,498.27,BRITANNIA
2025Q3,28.64,4567.76,15.1,1024.44,22.43,689.95,BRITANNIA
2015Q4,6.07,948.35,17.41,248.47,26.2,165.11,COLGATE
2016Q1,5.27,1007.88,14.21,252.7,25.07,143.27,COLGATE
2016Q2,4.62,1005.59,12.5,221.35,22.01,125.72,COLGATE
2016Q3,6.67,1048.32,17.3,286.04,27.29,181.31,COLGATE
2016Q4,4.7,864.98,14.78,224.96,26.01,127.82,COLGATE
2017Q1,5.24,1032.58,13.81,252.32,24.44,142.58,COLGATE
2017Q2,5.01,969.43,14.07,234.27,24.17,136.38,COLGATE
2017Q3,6.53,1077.98,16.47,309.46,28.71,177.57,COLGATE
2017Q4,6.27,1026.97,16.62,291.46,28.38,170.65,COLGATE
2018Q1,6.94,1085.06,17.4,304.35,28.05,188.77,COLGATE
2018Q2,6.97,1033.55,18.34,324.87,31.43,189.51,COLGATE
2018Q3,7.22,1160.63,16.92,338.21,29.14,196.37,COLGATE
2018Q4,7.06,1091.63,17.6,322.37,29.53,192.1,COLGATE
2019Q1,7.26,1146.63,17.23,318.78,27.8,197.59,COLGATE
2019Q2,6.22,1075.99,15.72,314.97,29.27,169.11,COLGATE
2019Q3,8.97,1213.21,20.12,331.6,27.33,244.11,COLGATE
2019Q4,7.32,1136.02,17.53,321.85,28.33,199.1,COLGATE
2020Q1,7.51,1062.35,19.22,282.51,26.59,204.15,COLGATE
2020Q2,7.29,1033.6,19.17,314.26,30.4,198.18,COLGATE
2020Q3,10.08,1277.66,21.46,416.86,32.63,274.19,COLGATE
2020Q4,9.13,1224.21,20.29,380.49,31.08,248.36,COLGATE
2021Q1,11.57,1275.01,24.68,428.37,33.6,314.66,COLGATE
2021Q2,8.58,1157.86,20.14,360.43,31.13,233.23,COLGATE
2021Q3,9.9,1343.96,20.03,407.27,30.3,269.17,COLGATE
2021Q4,9.28,1271.29,19.85,386.23,30.38,252.33,COLGATE
2022Q1,11.9,1293.35,25.02,438.28,33.89,323.57,COLGATE
2022Q2,7.71,1186.59,17.67,327.87,27.63,209.67,COLGATE
2022Q3,10.22,1378.37,20.17,419.27,30.42,278.02,COLGATE
2022Q4,8.94,1281.21,18.99,371.86,29.02,243.24,COLGATE
2023Q1,11.63,1341.69,23.57,470.38,35.06,316.22,COLGATE
2023Q2,10.06,1314.73,20.82,413.59,31.46,273.68,COLGATE
2023Q3,12.5,1462.38,23.25,503.14,34.41,340.05,COLGATE
2023Q4,12.14,1386.41,23.81,486.28,35.07,330.11,COLGATE
2024Q1,13.96,1480.66,25.65,554.82,37.47,379.82,COLGATE
2024Q2,13.38,1485.76,24.5,531.74,35.79,363.98,COLGATE
2024Q3,14.52,1609.21,24.55,573.33,35.63,395.05,COLGATE
2024Q4,11.87,1452.21,22.23,474.76,32.69,322.78,COLGATE
2025Q1,13.05,1452.02,24.45,517.07,35.61,355.0,COLGATE
2025Q2,11.79,1420.64,22.57,470.51,33.12,320.62,COLGATE
2025Q3,12.04,1507.24,21.73,480.46,31.88,327.51,COLGATE
2015Q4,0.0,810.05,5.08,83.81,10.35,41.18,CROMPTON
2016Q1,0.0,1001.63,6.65,119.52,11.93,66.61,CROMPTON
2016Q2,1.49,1096.19,8.52,160.73,14.66,93.45,CROMPTON
2016Q3,0.92,873.73,6.57,104.85,12.0,57.43,CROMPTON
2016Q4,0.87,879.23,6.18,102.26,11.63,54.35,CROMPTON
2017Q1,1.24,1046.3,7.45,133.77,12.79,77.94,CROMPTON
2017Q2,1.28,1055.45,7.61,139.09,13.18,80.27,CROMPTON
2017Q3,1.13,959.71,7.38,124.23,12.94,70.8,CROMPTON
2017Q4,1.11,938.19,7.41,123.09,13.12,69.5,CROMPTON
2018Q1,1.65,1126.31,9.16,175.38,15.57,103.22,CROMPTON
2018Q2,1.66,1203.89,8.66,176.1,14.63,104.27,CROMPTON
2018Q3,1.23,1037.83,7.41,133.75,12.89,76.91,CROMPTON
2018Q4,1.27,1030.31,7.73,138.45,13.44,79.67,CROMPTON
2019Q1,2.26,1206.88,11.74,185.75,15.39,141.67,CROMPTON
2019Q2,1.96,1346.84,9.1,209.38,15.55,122.6,CROMPTON
2019Q3,1.78,1075.79,10.34,141.75,13.18,111.27,CROMPTON
2019Q4,2.57,1071.29,15.03,154.25,14.4,161.02,CROMPTON
2020Q1,1.59,1018.05,9.8,150.35,14.77,99.81,CROMPTON
2020Q2,1.18,713.17,10.34,117.58,16.49,73.71,CROMPTON
2020Q3,2.19,1198.39,11.44,202.52,16.9,137.08,CROMPTON
2020Q4,2.35,1323.13,11.14,215.05,16.25,147.43,CROMPTON
2021Q1,3.93,1515.26,16.27,245.17,16.18,246.52,CROMPTON
2021Q2,1.48,1046.15,8.9,142.46,13.62,93.12,CROMPTON
2021Q3,2.72,1384.81,12.31,242.57,17.52,170.48,CROMPTON
2021Q4,2.36,1410.19,10.5,215.39,15.27,148.12,CROMPTON
2022Q1,2.89,1532.05,11.86,240.33,15.69,181.76,CROMPTON
2022Q2,2.01,1608.05,7.93,204.21,12.7,127.52,CROMPTON
2022Q3,2.08,1331.61,9.91,184.66,13.87,131.95,CROMPTON
2022Q4,1.33,1265.81,6.66,149.45,11.81,84.34,CROMPTON
2023Q1,2.07,1603.84,8.21,212.91,13.28,131.75,CROMPTON
2023Q2,1.81,1657.46,6.96,184.31,11.12,115.32,CROMPTON
2023Q3,1.48,1476.17,6.42,163.04,11.04,94.79,CROMPTON
2023Q4,1.49,1458.13,6.54,161.99,11.11,95.37,CROMPTON
2024Q1,2.52,1796.62,8.96,239.7,13.34,160.97,CROMPTON
2024Q2,2.45,1959.46,8.04,244.28,12.47,157.62,CROMPTON
2024Q3,1.92,1645.33,7.49,195.8,11.9,123.28,CROMPTON
2024Q4,1.74,1545.0,7.23,181.24,11.73,111.74,CROMPTON
2025Q1,2.65,1878.5,9.08,261.27,13.91,170.54,CROMPTON
2025Q2,1.94,1818.71,6.88,199.77,10.98,125.15,CROMPTON
2025Q3,1.09,1631.73,4.3,125.51,7.69,70.1,CROMPTON
2015Q4,1.41,1369.96,18.12,339.37,24.77,248.19,DABUR
2016Q1,1.63,1432.97,20.04,392.26,27.37,287.14,DABUR
2016Q2,1.13,1299.5,15.27,277.72,21.37,198.37,DABUR
2016Q3,1.53,1351.58,19.88,370.97,27.45,268.72,DABUR
2016Q4,1.3,1283.96,17.84,318.82,24.83,229.01,DABUR
2017Q1,1.72,1434.8,21.06,418.5,29.17,302.23,DABUR
2017Q2,0.96,1233.74,13.75,250.65,20.32,169.59,DABUR
2017Q3,1.61,1416.39,20.01,395.02,27.89,283.41,DABUR
2017Q4,1.51,1449.31,18.32,370.46,25.56,265.47,DABUR
2018Q1,2.01,1509.62,23.42,481.39,31.89,353.58,DABUR
2018Q2,1.31,1473.1,15.65,325.09,22.07,230.56,DABUR
2018Q3,1.74,1537.2,19.99,427.2,27.79,307.26,DABUR
2018Q4,1.77,1664.46,18.75,432.9,26.01,312.14,DABUR
2019Q1,2.35,1598.43,25.92,456.79,28.58,414.33,DABUR
2019Q2,1.46,1628.27,15.83,363.75,22.34,257.81,DABUR
2019Q3,1.84,1612.2,20.19,409.96,25.43,325.54,DABUR
2019Q4,1.87,1748.18,18.88,438.81,25.1,330.0,DABUR
2020Q1,1.45,1321.15,19.45,345.15,26.12,257.0,DABUR
2020Q2,1.64,1490.89,19.41,392.28,26.31,289.43,DABUR
2020Q3,2.22,1900.9,20.66,519.43,27.33,392.68,DABUR
2020Q4,2.26,2071.08,19.29,520.95,25.15,399.51,DABUR
2021Q1,1.7,1721.86,17.44,403.19,23.42,300.27,DABUR
2021Q2,1.99,1982.84,17.77,508.5,25.65,352.39,DABUR
2021Q3,2.24,2119.89,18.64,577.54,27.24,395.16,DABUR
2021Q4,2.23,2224.43,17.7,567.78,25.52,393.62,DABUR
2022Q1,1.65,1852.34,15.75,421.55,22.76,291.76,DABUR
2022Q2,1.98,2179.73,16.06,511.93,23.49,350.08,DABUR
2022Q3,2.23,2266.88,17.46,580.08,25.59,395.81,DABUR
2022Q4,2.23,2298.26,17.16,582.45,25.34,394.34,DABUR
2023Q1,1.32,1939.48,12.02,388.87,20.05,233.03,DABUR
2023Q2,2.13,2347.38,16.09,561.45,23.92,377.67,DABUR
2023Q3,2.37,2334.4,18.0,611.11,26.18,420.27,DABUR
2023Q4,2.42,2414.36,17.73,633.38,26.23,428.12,DABUR
2024Q1,1.6,2039.46,13.88,450.76,22.1,283.15,DABUR
2024Q2,2.29,2514.16,16.12,606.55,24.13,405.39,DABUR
2024Q3,1.86,2143.58,15.36,521.67,24.34,329.21,DABUR
2024Q4,2.36,2448.26,17.08,627.86,25.65,418.08,DABUR
2025Q1,1.41,1964.71,12.75,402.77,20.5,250.54,DABUR
2025Q2,2.3,2469.51,16.5,601.14,24.34,407.41,DABUR
2025Q3,1.97,2234.77,15.6,530.47,23.74,348.68,DABUR
2015Q4,2.89,673.5,19.47,249.4,37.03,131.15,EMAMI
2016Q1,1.55,539.11,12.99,181.49,33.66,70.04,EMAMI
2016Q2,1.09,594.43,8.27,142.39,23.95,49.17,EMAMI
2016Q3,1.95,525.62,16.83,202.89,38.6,88.48,EMAMI
2016Q4,3.09,670.15,20.9,267.55,39.92,140.07,EMAMI
2017Q1,1.51,520.71,13.18,171.37,32.91,68.65,EMAMI
2017Q2,0.14,487.68,1.29,88.45,18.14,6.3,EMAMI
2017Q3,2.29,580.51,17.9,206.98,35.65,103.94,EMAMI
2017Q4,3.29,716.89,20.79,269.82,37.64,149.07,EMAMI
2018Q1,1.11,568.91,8.83,162.47,28.56,50.21,EMAMI
2018Q2,0.89,574.88,7.01,134.74,23.44,40.32,EMAMI
2018Q3,1.73,572.43,13.73,183.73,32.1,78.6,EMAMI
2018Q4,3.04,758.95,18.16,257.02,33.87,137.8,EMAMI
2019Q1,1.07,581.58,8.34,158.34,27.23,48.53,EMAMI
2019Q2,1.82,588.55,14.03,178.75,30.37,82.56,EMAMI
2019Q3,2.11,592.12,16.16,201.94,34.1,95.67,EMAMI
2019Q4,3.26,748.28,19.77,267.25,35.72,147.91,EMAMI
2020Q1,-0.82,460.45,-8.04,34.92,7.58,-37.02,EMAMI
2020Q2,1.49,434.59,15.46,157.51,36.24,67.19,EMAMI
2020Q3,2.58,653.86,17.51,254.07,38.86,114.52,EMAMI
2020Q4,4.55,845.37,23.91,336.51,39.81,202.17,EMAMI
2021Q1,2.05,648.46,14.07,199.28,30.73,91.25,EMAMI
2021Q2,2.09,608.09,15.29,194.57,32.0,92.97,EMAMI
2021Q3,4.1,711.89,25.62,303.52,42.64,182.36,EMAMI
2021Q4,4.75,875.3,24.12,339.0,38.73,211.12,EMAMI
2022Q1,8.21,671.59,54.23,183.03,27.25,364.23,EMAMI
2022Q2,2.19,688.22,14.02,196.84,28.6,96.52,EMAMI
2022Q3,3.24,685.11,20.98,190.72,27.84,143.72,EMAMI
2022Q4,5.09,835.55,26.88,280.8,33.61,224.62,EMAMI
2023Q1,2.46,697.95,15.57,157.08,22.51,108.64,EMAMI
2023Q2,2.93,697.88,18.49,181.3,25.98,129.02,EMAMI
2023Q3,3.75,701.2,23.33,217.34,31.0,163.58,EMAMI
2023Q4,5.71,813.06,30.63,302.07,37.15,249.04,EMAMI
2024Q1,3.48,709.43,21.39,214.62,30.25,151.75,EMAMI
2024Q2,4.03,755.3,23.3,238.35,31.56,175.98,EMAMI
2024Q3,4.9,709.01,30.2,260.82,36.79,214.1,EMAMI
2024Q4,6.4,878.64,31.8,338.3,38.5,279.41,EMAMI
2025Q1,4.35,780.6,24.31,257.25,32.96,189.73,EMAMI
2025Q2,3.74,756.46,21.56,221.48,29.28,163.09,EMAMI
2025Q3,4.17,604.47,30.17,221.47,36.64,182.34,EMAMI
2016Q1,2.05,1134.06,18.47,297.1,26.2,209.51,GODREJ
2016Q2,1.48,1042.43,14.66,221.19,21.22,152.86,GODREJ
2016Q3,2.07,1224.42,17.36,298.41,24.37,212.57,GODREJ
2016Q4,2.26,1179.81,19.63,324.3,27.49,231.55,GODREJ
2017Q1,2.45,1226.14,20.45,356.0,29.03,250.73,GODREJ
2017Q2,1.46,1091.66,13.7,221.02,20.25,149.56,GODREJ
2017Q3,2.93,1346.72,19.02,357.46,26.54,256.11,GODREJ
2017Q4,2.93,1394.74,21.44,414.01,29.68,299.07,GODREJ
2018Q1,2.89,1329.3,22.2,411.71,30.97,295.13,GODREJ
2018Q2,2.15,1278.54,17.24,310.64,24.3,220.45,GODREJ
2018Q3,2.89,1480.7,19.98,415.16,28.04,295.78,GODREJ
